Source,Target,Weight
soy-lecithin,wheat-flour,225
malted-barley-flour,sugar,203
nonfat-dry-milk,salt,182
oregano,salt,145
sodium-benzoate,water,137
niacin,palm-oil,135
riboflavin,spices,116
sugar,yellow,102
folic-acid,sodium-bicarbonate,100
corn-syrup,riboflavin,90
garlic,xanthan-gum,81
calcium-propionate,reduced-iron,80
cocoa-butter,milk,57
baking-powder,wheat-flour,56
calcium-propionate,calcium-sulfate,52
rice,salt,48
salt,soy,45
folic-acid,potassium-sorbate,43
folic-acid,yeast-extract,40
mono-diglycerides,reduced-iron,39
pyridoxine-hydrochloride,vitamin-palmitate,38
caffeine,citric-acid,37
artificial-flavor,leavening,36
butter,folic-acid,34
enzymes,soy-lecithin,29
inositol,preservative,28
salt,to-protect-flavor,28
to-protect-flavor,water,28
flavor,folic-acid,26
citric-acid,skim-milk,24
soy-flour,yeast,22
caramel-color,onions,21
citric-acid,sesame-seeds,21
corn-syrup,sodium-lactate,21
cranberries,raisins,21
dehydrated-garlic,dextrose,21
potassium-sorbate-preservative,salt,21
salt,spices-flavorings,21
lactose,riboflavin,18
preservative,vegetable-oil,18
ascorbic-acid,enzyme,17
food-starch,palm-oil,17
iron,modified-corn-starch,17
sugar,vanilla-flavor,17
alum,cucumbers,16
corn-flour,soy-flour,16
dextrose,sea-salt,16
enzymes,preservatives,16
pork,sodium-lactate,16
corn-syrup-solids,lactic-acid,15
cream,yeast-extract,15
flavorings,sodium-diacetate,15
oats,wheat-flour,15
dough-conditioners,folic-acid,14
garlic-puree,tomato,14
potassium-bromate,sugar,14
red,red,14
whey,yellow,14
banana-chips,sugar,13
citric-acid,emulsifier,13
corn-syrup,sodium-hexametaphosphate,13
flavoring,mechanically-separated-turkey,13
maltodextrin,sodium-benzoate,13
biscuit-concentrate-leavening-sodium-bicarbonate,water,12
black-pepper,brown-sugar,12
chili-pepper,tomato-paste,12
dairy-cultures,thiamine-mononitrate,12
egg-yolks,maltodextrin,12
flavor,flour-wheat-flour,12
oats,soy-lecithin,12
reduced-iron,whey-powder,12
turkey-fat,water,12
blue,red,11
carbonated-water,sugar,11
cornstarch,onion-powder,11
dicalcium-phosphate,salt,11
egg-yolks,enzymes,11
flavor,vitamin-e-antioxidant,11
guar-gum,paprika,11
carbonated-water,flavor,10
dehydrated-onion,spice,10
enzymes,phosphoric-acid,10
flavors,sorbic-acid,10
folic-acid,leavening-sodium-bicarbonate,10
guarana-extract,vit-b,10
gum-arabic,high-fructose-corn-syrup,10
gum-arabic,reduced-iron,10
lactic-acid,nonfat-milk,10
leavening-sodium-acid-pyrophosphate,water,10
milk,soybean,10
modified-corn-starch,sodium-phosphates,10
mono-diglycerides,wheat-starch,10
bht,propyl-gallate,9
calcium-caseinate,milk-protein-concentrate,9
chicken-fat,hydrolyzed-corn-protein,9
chili-powder-chili-peppers,cumin,9
citric-acid,polysorbate,9
cocoa-butter,coconut-oil,9
corn-flour,malted-barley-flour,9
cultured-nonfat-milk,guar-gum,9
disodium-inosinate,modified-food-starch,9
distilled-vinegar,vegetable-oil,9
electrolyte,pyridoxine-hydrochloride,9
emulsifier,vegetable-oil,9
folic-acid,sodium-nitrite,9
invert-sugar,preservative,9
invertase,soy-lecithin,9
niacinamide,sodium-ascorbate,9
taurine,vit-b,9
artificial-flavor,lactic-acid-dairy-cultures,8
buttermilk,sodium-citrate,8
calcium-sulfate,carob-bean-gum,8
canola-oil,zinc-oxide,8
canola-soybean-oil,water,8
carmine,salt,8
coconut,org,8
color,red,8
corn-flour,enzymes,8
corn-starch,pinto-beans,8
corn-syrup-solids,sodium-diacetate,8
dehydrated-garlic,tomatoes,8
dextrose,glycerol,8
flavors,gum-arabic,8
flour,vanilla-extract,8
milk-protein-concentrate,sugar,8
niacinamide,potassium-sorbate,8
nonfat-milk-solids,sugar,8
onion,soybean,8
onion-powder,soy,8
salt,vinegar-pork-skin,8
blue,dextrin,7
carnauba-wax,modified-food-starch,7
cayenne-pepper,tomato-paste,7
cellulose,cream,7
chocolate-liquor,dextrose,7
citric-acid,green-bell-pepper,7
citric-acid,yellow-lake,7
corn-syrup,rolled-oats,7
fd-c-red,modified-food-starch,7
ferrous-sulfate,onion-powder,7
freshness,modified-food-starch,7
garlic-powder,thiamin-mononitrate,7
gum-base,yellow-lake,7
modified-food-starch,sodium-aluminum-phosphate,7
molasses,turmeric,7
niacin,spinach,7
palm-kernel-oil,skim-milk,7
palm-oil-shortening,wheat-flour,7
peaches,sugar,7
peas,water,7
peppers,whey,7
sodium-diacetate,thiamin-mononitrate,7
alcohol,niacin,6
annatto-color,cheese-culture,6
artificial-flavors,invert-sugar,6
beta-carotene,biscuit-concentrate,6
betacarotene,garlic,6
blue,soy-lecithin,6
buttermilk,milk-solids,6
calcium-propionate,cultured-low-fat-milk,6
carrot-juice-concentrate,maltodextrin,6
celery,corn-syrup,6
cocoa-powder,maltodextrin,6
cream-of-tartar,yellow-lake,6
datem,wheat-flour-flour,6
dough-conditioner,riboflavin-folic-acid,6
egg-yolks,mustard-seeds,6
electrolyte,fruit-vegetable-juice,6
erythritol,pyridoxine-hydrochloride,6
